tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/rect_39,0,1.0,197.4,71.4285714285714,72.54901960784314,0.0,0.0,0.0,1.0,"[0, 0]",-160.0,-80.0,-400.0,-320.0,-360.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_38,0,1.0,120.0,73.4375,74.90196078431373,0.0,0.0,0.0,1.0,"[0, 1]",-160.0,-80.0,-320.0,-240.0,-280.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_37,0,1.0,6.1764705882352855,93.15068493150683,71.37254901960785,0.0,0.0,0.0,1.0,"[0, 2]",-160.0,-80.0,-240.0,-160.0,-200.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_36,0,1.0,300.0,47.28682170542637,74.70588235294117,0.0,0.0,0.0,1.0,"[0, 3]",-160.0,-80.0,-160.0,-80.0,-120.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_35,0,1.0,50.588235294117645,100.0,50.0,0.0,0.0,0.0,1.0,"[0, 4]",-160.0,-80.0,-80.0,0.0,-40.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_34,0,1.0,16.114285714285714,100.0,65.68627450980392,0.0,0.0,0.0,1.0,"[0, 5]",-160.0,-80.0,0.0,80.0,40.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_33,0,1.0,194.73684210526315,53.271028037383196,79.01960784313727,0.0,0.0,0.0,1.0,"[0, 6]",-160.0,-80.0,80.0,160.0,120.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_32,0,1.0,120.0,73.4375,74.90196078431373,0.0,0.0,0.0,1.0,"[0, 7]",-160.0,-80.0,160.0,240.0,200.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_31,0,1.0,6.1764705882352855,93.15068493150683,71.37254901960785,0.0,0.0,0.0,1.0,"[0, 8]",-160.0,-80.0,240.0,320.0,280.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_30,0,1.0,300.0,47.28682170542637,74.70588235294117,0.0,0.0,0.0,1.0,"[0, 9]",-160.0,-80.0,320.0,400.0,360.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_29,0,1.0,50.588235294117645,100.0,50.0,0.0,0.0,0.0,1.0,"[0, 10]",-80.0,0.0,-400.0,-320.0,-360.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_28,0,1.0,16.114285714285714,100.0,65.68627450980392,0.0,0.0,0.0,1.0,"[0, 11]",-80.0,0.0,-320.0,-240.0,-280.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_27,0,1.0,194.73684210526315,53.271028037383196,79.01960784313727,0.0,0.0,0.0,1.0,"[0, 12]",-80.0,0.0,-240.0,-160.0,-200.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_26,0,1.0,120.0,73.4375,74.90196078431373,0.0,0.0,0.0,1.0,"[0, 13]",-80.0,0.0,-160.0,-80.0,-120.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_25,0,1.0,6.1764705882352855,93.15068493150683,71.37254901960785,0.0,0.0,0.0,1.0,"[0, 14]",-80.0,0.0,-80.0,0.0,-40.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_24,0,1.0,300.0,47.28682170542637,74.70588235294117,0.0,0.0,0.0,1.0,"[0, 15]",-80.0,0.0,0.0,80.0,40.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_23,0,1.0,50.588235294117645,100.0,50.0,0.0,0.0,0.0,1.0,"[0, 16]",-80.0,0.0,80.0,160.0,120.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_22,0,1.0,16.114285714285714,100.0,65.68627450980392,0.0,0.0,0.0,1.0,"[0, 17]",-80.0,0.0,160.0,240.0,200.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_21,0,1.0,194.73684210526315,53.271028037383196,79.01960784313727,0.0,0.0,0.0,1.0,"[0, 18]",-80.0,0.0,240.0,320.0,280.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_20,0,1.0,120.0,73.4375,74.90196078431373,0.0,0.0,0.0,1.0,"[0, 19]",-80.0,0.0,320.0,400.0,360.0,-40.0,80.0,80.0,6400.0,320.0
svg/rect_19,0,1.0,6.1764705882352855,93.15068493150683,71.37254901960785,0.0,0.0,0.0,1.0,"[0, 20]",0.0,80.0,-400.0,-320.0,-360.0,40.0,80.0,80.0,6400.0,320.0
svg/rect_18,0,1.0,300.0,47.28682170542637,74.70588235294117,0.0,0.0,0.0,1.0,"[0, 21]",0.0,80.0,-320.0,-240.0,-280.0,40.0,80.0,80.0,6400.0,320.0
svg/rect_17,0,1.0,50.588235294117645,100.0,50.0,0.0,0.0,0.0,1.0,"[0, 22]",0.0,80.0,-240.0,-160.0,-200.0,40.0,80.0,80.0,6400.0,320.0
svg/rect_16,0,1.0,16.114285714285714,100.0,65.68627450980392,0.0,0.0,0.0,1.0,"[0, 23]",0.0,80.0,-160.0,-80.0,-120.0,40.0,80.0,80.0,6400.0,320.0
