tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_min_left_n,bbox_max_right_n,bbox_min_top_n,bbox_max_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area
svg/g_11/g_53/path_32,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.875,2.3825587683948753e-11,3.161956630770932e-11,2.3825587683948753e-11,3.161956630770932e-11,2.7576200939156747e-11,2.7576200939156747e-11,0.007788390889052174,0.028611797951254056,0.0,0.09245737670163491
svg/g_11/g_52/path_31,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.8689024390243902,1.191753712113564e-10,1.89439955336287e-10,1.191753712113564e-10,1.89439955336287e-10,1.5089837785707012e-10,1.5089837785707012e-10,0.007053637031594412,0.027905333804309353,0.0,0.08867091150485137
svg/g_11/g_51/path_30,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.8628048780487805,9.30614582162152e-11,1.3650976027686474e-10,9.30614582162152e-11,1.3650976027686474e-10,1.1309273161397383e-10,1.1309273161397383e-10,0.0038207200587803054,0.027552101730837202,0.0,0.07599517712798369
svg/g_11/g_51/path_29,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.7378048780487805,1.8998176919062567e-10,3.9635890079133864e-10,1.8998176919062567e-10,3.9635890079133864e-10,2.756988414831317e-10,2.756988414831317e-10,0.007788390889052169,0.02861179795125396,0.0,0.09248741016687288
svg/g_11/g_50/path_28,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.8567073170731707,2.9604314650548945e-11,5.2858372293993576e-11,2.9604314650548945e-11,5.2858372293993576e-11,3.969193886946721e-11,3.969193886946721e-11,0.0038207200587803054,0.027552101730837154,0.0,0.07599517712798369
svg/g_11/g_50/path_27,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.7317073170731707,6.14726349686157e-11,1.4633757582080852e-10,6.14726349686157e-11,1.4633757582080852e-10,9.525205760526955e-11,9.525205760526955e-11,0.007053637031594412,0.027905333804309453,0.0,0.0886709115048514
svg/g_11/g_49/path_26,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.850609756097561,1.6177626524290436e-12,4.933576176854621e-12,1.6177626524290436e-12,4.933576176854621e-12,2.8377290894783524e-12,2.8377290894783524e-12,0.007347538574577511,0.028258565877781718,0.0,0.08822296863429653
svg/g_11/g_49/path_25,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.725609756097561,3.5935052393346803e-12,1.1331881399458517e-11,3.5935052393346803e-12,1.1331881399458517e-11,6.411281134434033e-12,6.411281134434033e-12,0.007788390889052169,0.028611797951253983,0.0,0.09248741016687291
svg/g_11/line_22,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.7195121951219512,3.346218903717885e-11,9.248589218139058e-11,3.346218903717885e-11,9.248589218139058e-11,1.5120719112038772e-09,1.5120719112038772e-09,0.0014695077149155032,0.9078064288237373,0.0,0.13680442145210334
svg/g_11/g_47/g_48/line_21,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.9009146341463414,3.325213657507821e-10,8.437296437152098e-10,3.325213657507821e-10,8.437296437152098e-10,5.311561872443826e-10,5.311561872443826e-10,0.010874357090374723,0.003532320734722713,0.0,0.04934358608310051
