tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_73/rect_73,2.0073,0.2,354.0,76.00000000000004,59.0,-1.0,-1.0,-1.0,1.0,"[0, 0, 0]",53.7,70.7,30.3,346.90000000000003,188.60000000000002,62.2,316.6,17.0,5382.200000000001,667.2
svg/g_73/rect_72,2.0072,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 1]",54.1,115.9,30.3,75.5,52.9,85.0,45.2,61.800000000000004,2793.36,107.0
svg/g_73/rect_71,2.0071,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 2]",54.1,115.9,75.6,120.8,98.19999999999999,85.0,45.2,61.800000000000004,2793.36,107.0
svg/g_73/rect_70,2.007,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 3]",54.1,115.9,120.8,166.0,143.4,85.0,45.2,61.800000000000004,2793.36,107.0
svg/g_73/rect_69,2.0069,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 4]",54.1,115.9,166.1,211.3,188.7,85.0,45.20000000000002,61.800000000000004,2793.36,107.0
svg/g_73/rect_68,2.0068,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 5]",54.1,115.9,211.3,256.5,233.9,85.0,45.19999999999999,61.800000000000004,2793.36,107.0
svg/g_73/rect_67,2.0067,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 6]",54.1,115.9,256.6,301.8,279.20000000000005,85.0,45.19999999999999,61.800000000000004,2793.36,107.0
svg/g_73/rect_66,2.0066,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 7]",54.1,115.9,301.8,347.0,324.4,85.0,45.19999999999999,61.800000000000004,2793.36,107.0
svg/g_73/rect_65,2.0065,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 8]",116.1,161.3,30.3,75.5,52.9,138.7,45.2,45.20000000000002,2043.0400000000002,90.4
svg/g_73/rect_64,2.0064,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 9]",116.1,161.3,75.6,120.8,98.19999999999999,138.7,45.2,45.20000000000002,2043.0400000000002,90.4
svg/g_73/rect_63,2.0063,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 10]",116.1,161.3,120.8,166.0,143.4,138.7,45.2,45.20000000000002,2043.0400000000002,90.4
svg/g_73/rect_62,2.0062,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 11]",116.1,161.3,166.1,211.3,188.7,138.7,45.20000000000002,45.20000000000002,2043.0400000000002,90.4
svg/g_73/rect_61,2.0061,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 12]",116.1,161.3,211.3,256.5,233.9,138.7,45.19999999999999,45.20000000000002,2043.0400000000002,90.4
svg/g_73/rect_60,2.006,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 13]",116.1,161.3,256.6,301.8,279.20000000000005,138.7,45.19999999999999,45.20000000000002,2043.0400000000002,90.4
svg/g_73/rect_59,2.0059,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 14]",116.1,161.3,301.8,347.0,324.4,138.7,45.19999999999999,45.20000000000002,2043.0400000000002,90.4
svg/g_73/rect_58,2.0058,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 15]",161.5,206.7,30.3,75.5,52.9,184.1,45.2,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_57,2.0057,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 16]",161.5,206.7,75.6,120.8,98.19999999999999,184.1,45.2,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_56,2.0056,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 17]",161.5,206.7,120.8,166.0,143.4,184.1,45.2,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_55,2.0055,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 18]",161.5,206.7,166.1,211.3,188.7,184.1,45.20000000000002,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_54,2.0054,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 19]",161.5,206.7,211.3,256.5,233.9,184.1,45.19999999999999,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_53,2.0053,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 20]",161.5,206.7,256.6,301.8,279.20000000000005,184.1,45.19999999999999,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_52,2.0052,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 21]",161.5,206.7,301.8,347.0,324.4,184.1,45.19999999999999,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_51,2.0051,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 22]",207.0,252.2,30.3,75.5,52.9,229.6,45.2,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_50,2.005,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 23]",207.0,252.2,75.6,120.8,98.19999999999999,229.6,45.2,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_49,2.0049,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 24]",207.0,252.2,120.8,166.0,143.4,229.6,45.2,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_48,2.0048,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 25]",207.0,252.2,166.1,211.3,188.7,229.6,45.20000000000002,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_47,2.0047,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 26]",207.0,252.2,211.3,256.5,233.9,229.6,45.19999999999999,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_46,2.0046,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 27]",207.0,252.2,256.6,301.8,279.20000000000005,229.6,45.19999999999999,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_45,2.0045,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 28]",207.0,252.2,301.8,347.0,324.4,229.6,45.19999999999999,45.19999999999999,2043.0400000000002,90.4
svg/g_73/rect_44,2.0044,1.0,-1.0,-1.0,-1.0,0.0,0.0,90.19607843137256,0.5,"[0, 0, 29]",252.4,297.6,30.3,75.5,52.9,275.0,45.2,45.20000000000002,2043.0400000000002,90.4
