tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_70/g_98/path_127,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 0, 0]",272.20000000000005,279.0,19.2,24.0,21.6,275.6,4.800000000000001,6.7999999999999545,0.0,34.843021634278266
svg/g_70/g_98/path_126,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 0, 1]",272.20000000000005,279.0,24.7,29.5,27.1,275.6,4.800000000000001,6.7999999999999545,0.0,34.843021634278266
svg/g_70/g_98/path_125,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 0, 2]",278.1,279.1,30.9,31.9,31.4,278.6,1.0,1.0,0.0,4.0
svg/g_70/g_98/path_124,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 0, 3]",272.2,279.3,33.2,37.9,35.55,275.75,4.699999999999996,7.100000000000023,0.0,33.9721196118917
svg/g_70/g_98/path_123,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 0, 4]",272.2,279.3,38.6,43.3,40.95,275.75,4.699999999999996,7.100000000000023,0.0,33.97297529909208
svg/g_70/g_97/path_122,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 1, 0]",296.7,303.8,75.1,79.8,77.44999999999999,300.25,4.700000000000003,7.100000000000023,0.0,34.00599167534521
svg/g_70/g_97/path_121,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 1, 1]",296.59999999999997,303.9,80.39999999999999,85.09999999999998,82.74999999999999,300.25,4.699999999999989,7.300000000000011,0.0,35.72277489461859
svg/g_70/g_96/path_120,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 2, 0]",296.7,303.8,251.2,255.9,253.55,300.25,4.700000000000017,7.100000000000023,0.0,33.97211961189176
svg/g_70/g_96/path_119,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 2, 1]",296.80000000000007,303.6,256.49999999999994,261.4,258.94999999999993,300.20000000000005,4.900000000000034,6.7999999999999545,0.0,24.81958078180741
svg/g_70/g_95/path_118,6,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,"[0, 0, 3, 0]",296.8,303.6,404.4,406.9,405.65,300.20000000000005,2.5,6.800000000000011,0.0,18.222507346748223
