tag_name,tag,opacity,fill_l,fill_a,fill_b,stroke_l,stroke_a,stroke_b,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_32/g_101/g_102/path_122,6.0122,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 0, 0]",299.6,302.1,53.8,55.3,54.55,300.85,1.5,2.5,0.0,6.48526586606682
svg/g_32/g_101/g_102/path_121,6.0121,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 0, 1]",299.7999999999999,306.39999999999986,55.99999999999999,60.099999999999994,58.05,303.0999999999999,4.100000000000001,6.599999999999966,0.0,30.20621046867009
svg/g_32/g_101/g_102/path_120,6.012,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 0, 2]",299.99999999999994,306.69999999999993,61.300000000000004,65.60000000000001,63.45,303.3499999999999,4.300000000000004,6.699999999999989,0.0,34.46007577928969
svg/g_32/g_99/g_100/path_119,6.0119,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 1, 0, 0]",299.6,302.1,73.0,74.5,73.75,300.85,1.5,2.5,0.0,6.485265866066822
svg/g_32/g_99/g_100/path_118,6.0118,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 1, 0, 1]",299.99999999999994,306.5,74.9,79.60000000000002,77.25000000000001,303.25,4.700000000000017,6.500000000000057,0.0,29.56624240260628
svg/g_32/g_99/g_100/path_117,6.0117,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 1, 0, 2]",299.9,306.59999999999997,80.2,84.6,82.4,303.25,4.3999999999999915,6.699999999999989,0.0,34.291955850148454
svg/g_32/g_97/g_98/path_116,6.0116,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 2, 0, 0]",299.6,302.1,91.8,93.3,92.55,300.85,1.5,2.5,0.0,6.485265866066822
svg/g_32/g_97/g_98/path_115,6.0115,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 2, 0, 1]",299.99999999999994,306.5,93.7,98.40000000000002,96.05000000000001,303.25,4.700000000000017,6.500000000000057,0.0,29.56624240260628
svg/g_32/g_97/g_98/path_114,6.0114,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 2, 0, 2]",299.90000000000003,306.40000000000003,99.7,101.80000000000001,100.75,303.15000000000003,2.1000000000000085,6.5,0.0,17.19345894720197
svg/g_32/g_95/g_96/path_113,6.0113,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 3, 0, 0]",299.6,302.1,110.9,112.4,111.65,300.85,1.5,2.5,0.0,6.485265866066822
svg/g_32/g_95/g_96/path_112,6.0112,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 3, 0, 1]",299.99999999999994,306.5,112.8,117.50000000000001,115.15,303.25,4.700000000000017,6.500000000000057,0.0,29.56624240260628
svg/g_32/g_95/g_96/path_111,6.0111,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 3, 0, 2]",299.8,306.5,118.2,122.30000000000001,120.25,303.15,4.1000000000000085,6.699999999999989,0.0,28.857178615934817
svg/g_32/g_93/g_94/path_110,6.011,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 4, 0, 0]",299.6,302.1,129.5,131.0,130.25,300.85,1.5,2.5,0.0,6.485265866066823
svg/g_32/g_93/g_94/path_109,6.0109,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 4, 0, 1]",299.99999999999994,306.5,131.4,136.10000000000002,133.75,303.25,4.700000000000017,6.500000000000057,0.0,29.566242402606285
svg/g_32/g_93/g_94/path_108,6.0108,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 4, 0, 2]",299.7999999999999,306.39999999999986,136.70000000000005,140.80000000000004,138.75000000000006,303.0999999999999,4.099999999999994,6.599999999999966,0.0,30.35078917744112
svg/g_32/g_91/g_92/path_107,6.0107,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 5, 0, 0]",299.6,302.1,148.6,150.1,149.35,300.85,1.5,2.5,0.0,6.485265866066823
svg/g_32/g_91/g_92/path_106,6.0106,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 5, 0, 1]",299.99999999999994,306.5,150.5,155.20000000000002,152.85000000000002,303.25,4.700000000000017,6.500000000000057,0.0,29.566242402606285
svg/g_32/g_91/g_92/path_105,6.0105,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 5, 0, 2]",299.99999999999994,306.5,155.7,160.4,158.05,303.25,4.700000000000017,6.500000000000057,0.0,29.566242402606285
svg/g_32/g_89/g_90/path_104,6.0104,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 6, 0, 0]",299.6,302.1,166.6,168.1,167.35,300.85,1.5,2.5,0.0,6.485265866066823
svg/g_32/g_89/g_90/path_103,6.0103,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 6, 0, 1]",299.99999999999994,306.5,168.5,173.20000000000002,170.85000000000002,303.25,4.700000000000017,6.500000000000057,0.0,29.566242402606285
svg/g_32/g_89/g_90/path_102,6.0102,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 6, 0, 2]",300.1,306.59999999999997,173.90000000000003,177.90000000000003,175.90000000000003,303.35,4.0,6.499999999999943,0.0,29.615770481920336
svg/g_32/g_87/g_88/path_101,6.0101,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 7, 0, 0]",299.6,302.1,185.6,187.1,186.35,300.85,1.5,2.5,0.0,6.485265866066823
svg/g_32/g_87/g_88/path_100,6.01,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 7, 0, 1]",299.99999999999994,306.5,187.5,192.20000000000002,189.85000000000002,303.25,4.700000000000017,6.500000000000057,0.0,29.566242402606285
svg/g_32/g_87/g_88/path_99,6.0099,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 7, 0, 2]",299.9000000000001,306.6000000000001,192.7,197.2,194.95,303.2500000000001,4.5,6.699999999999989,0.0,35.515179282902054
svg/g_32/g_85/g_86/path_98,6.0098,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 8, 0, 0]",299.6,302.1,205.1,206.6,205.85,300.85,1.5,2.5,0.0,6.485265866066823
svg/g_32/g_85/g_86/path_97,6.0097,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 8, 0, 1]",299.99999999999994,306.5,207.0,211.70000000000002,209.35000000000002,303.25,4.700000000000017,6.500000000000057,0.0,29.566242402606285
svg/g_32/g_85/g_86/path_96,6.0096,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 8, 0, 2]",300.0,306.5,212.6,216.7,214.64999999999998,303.25,4.099999999999994,6.5,0.0,22.48128727062525
svg/g_32/g_83/g_84/path_95,6.0095,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 9, 0, 0]",299.6,302.1,224.5,226.0,225.25,300.85,1.5,2.5,0.0,6.485265866066823
svg/g_32/g_83/g_84/path_94,6.0094,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 9, 0, 1]",299.99999999999994,306.5,226.4,231.10000000000002,228.75,303.25,4.700000000000017,6.500000000000057,0.0,29.566242402606285
svg/g_32/g_83/g_84/path_93,6.0093,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 9, 0, 2]",299.90000000000003,306.6,231.7,236.10000000000002,233.9,303.25,4.400000000000034,6.699999999999989,0.0,38.91869264498581
svg/g_32/g_81/g_82/path_92,6.0092,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 10, 0, 0]",299.6,302.1,242.9,244.4,243.65,300.85,1.5,2.5,0.0,6.485265866066823
svg/g_32/g_81/g_82/path_91,6.0091,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 10, 0, 1]",299.99999999999994,306.5,244.8,249.50000000000003,247.15000000000003,303.25,4.700000000000017,6.500000000000057,0.0,29.566242402606285
svg/g_32/g_81/g_82/path_90,6.009,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 10, 0, 2]",299.99999999999994,306.69999999999993,250.29999999999998,254.59999999999997,252.45,303.3499999999999,4.299999999999983,6.699999999999989,0.0,34.46007577928964
svg/g_32/g_79/g_80/path_89,6.0089,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 11, 0, 0]",299.6,302.1,261.9,263.4,262.65,300.85,1.5,2.5,0.0,6.4852658660668165
svg/g_32/g_79/g_80/path_88,6.0088,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 11, 0, 1]",300.1,306.59999999999997,263.99999999999994,267.99999999999994,265.99999999999994,303.35,4.0,6.499999999999943,0.0,29.615770481920247
svg/g_32/g_79/g_80/path_87,6.0087,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 11, 0, 2]",299.9,306.59999999999997,269.09999999999997,273.5,271.29999999999995,303.25,4.400000000000034,6.699999999999989,0.0,34.33985348160808
svg/g_32/g_77/g_78/path_86,6.0086,1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,-1.0,-1.0,-1.0,1.0,"[0, 0, 12, 0, 0]",299.6,302.1,280.6,282.1,281.35,300.85,1.5,2.5,0.0,6.4852658660668165
