tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/line_11,3.0011,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 0]",-0.5,30.5,-0.5,100.5,50.0,15.0,101.0,31.0,0.0,104.4030650891055
svg/line_10,3.001,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 1]",-0.5,50.5,-80.5,0.5,-40.0,25.0,81.0,51.0,0.0,94.33981132056604
svg/line_9,3.0009,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 2]",-40.5,0.5,-0.5,120.5,60.0,-20.0,121.0,41.0,0.0,126.49110640673517
svg/line_8,3.0008,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 3]",-0.5,80.5,-0.5,60.5,30.0,40.0,61.0,81.0,0.0,100.0
svg/line_7,3.0007,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 4]",9.5,30.5,99.5,150.5,125.0,20.0,51.0,21.0,0.0,53.85164807134504
svg/line_6,3.0006,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 5]",49.5,90.5,-120.5,-79.5,-100.0,70.0,41.0,41.0,0.0,56.568542494923804
svg/line_5,3.0005,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 6]",-30.5,50.5,-80.5,-49.5,-65.0,10.0,31.0,81.0,0.0,85.44003745317531
svg/line_4,3.0004,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 7]",-80.5,-39.5,119.5,180.5,150.0,-60.0,61.0,41.0,0.0,72.11102550927978
svg/line_3,3.0003,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 8]",79.5,140.5,59.5,90.5,75.0,110.0,31.0,61.0,0.0,67.08203932499369
svg/line_2,3.0002,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 9]",79.5,130.5,29.5,60.5,45.0,105.0,31.0,51.0,0.0,58.309518948453004
svg/line_1,3.0001,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 10]",9.5,40.5,149.5,200.5,175.0,25.0,51.0,31.0,0.0,58.309518948453004
svg/line,3.0,1.0,0.0,0.0,0.0,0.0,0.0,82.74509803921568,1.0,"[0, 11]",39.5,70.5,199.5,250.5,225.0,55.0,51.0,31.0,0.0,58.309518948453004
svg/circle_12,1.0012,1.0,0.0,100.0,50.19607843137255,-1.0,-1.0,-1.0,1.0,"[0, 12]",-30.0,30.0,-30.0,30.0,0.0,0.0,60.0,60.0,2827.4333882308138,188.49555921538757
svg/circle_11,1.0011,1.0,197.4,71.4285714285714,72.54901960784314,-1.0,-1.0,-1.0,1.0,"[0, 13]",10.0,50.0,80.0,120.0,100.0,30.0,40.0,40.0,1256.6370614359173,125.66370614359172
svg/circle_10,1.001,1.0,50.588235294117645,100.0,50.0,-1.0,-1.0,-1.0,1.0,"[0, 14]",35.0,65.0,-95.0,-65.0,-80.0,50.0,30.0,30.0,706.8583470577034,94.24777960769379
svg/circle_9,1.0009,1.0,197.4,71.4285714285714,72.54901960784314,-1.0,-1.0,-1.0,1.0,"[0, 15]",-65.0,-15.0,95.0,145.0,120.0,-40.0,50.0,50.0,1963.4954084936207,157.07963267948966
svg/circle_8,1.0008,1.0,50.588235294117645,100.0,50.0,-1.0,-1.0,-1.0,1.0,"[0, 16]",70.0,90.0,50.0,70.0,60.0,80.0,20.0,20.0,314.1592653589793,62.83185307179586
svg/circle_7,1.0007,1.0,197.4,71.4285714285714,72.54901960784314,-1.0,-1.0,-1.0,1.0,"[0, 17]",-15.0,35.0,125.0,175.0,150.0,10.0,50.0,50.0,1963.4954084936207,157.07963267948966
svg/circle_6,1.0006,1.0,50.588235294117645,100.0,50.0,-1.0,-1.0,-1.0,1.0,"[0, 18]",70.0,110.0,-140.0,-100.0,-120.0,90.0,40.0,40.0,1256.6370614359173,125.66370614359172
svg/circle_5,1.0005,1.0,197.4,71.4285714285714,72.54901960784314,-1.0,-1.0,-1.0,1.0,"[0, 19]",-40.0,-20.0,-60.0,-40.0,-50.0,-30.0,20.0,20.0,314.1592653589793,62.83185307179586
svg/circle_4,1.0004,1.0,50.588235294117645,100.0,50.0,-1.0,-1.0,-1.0,1.0,"[0, 20]",-95.0,-65.0,165.0,195.0,180.0,-80.0,30.0,30.0,706.8583470577034,94.24777960769379
svg/circle_3,1.0003,1.0,197.4,71.4285714285714,72.54901960784314,-1.0,-1.0,-1.0,1.0,"[0, 21]",120.0,160.0,70.0,110.0,90.0,140.0,40.0,40.0,1256.6370614359173,125.66370614359172
svg/circle_2,1.0002,1.0,50.588235294117645,100.0,50.0,-1.0,-1.0,-1.0,1.0,"[0, 22]",115.0,145.0,15.0,45.0,30.0,130.0,30.0,30.0,706.8583470577034,94.24777960769379
svg/circle_1,1.0001,1.0,197.4,71.4285714285714,72.54901960784314,-1.0,-1.0,-1.0,1.0,"[0, 23]",20.0,60.0,180.0,220.0,200.0,40.0,40.0,40.0,1256.6370614359173,125.66370614359172
svg/circle,1.0,1.0,0.0,100.0,50.0,-1.0,-1.0,-1.0,1.0,"[0, 24]",55.0,85.0,235.0,265.0,250.0,70.0,30.0,30.0,706.8583470577034,94.24777960769379
