tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/line_39,3.0039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 0]",-40.75,70.75,-380.75,-379.25,-380.0,15.0,1.5,111.5,0.0,165.0
svg/rect_14,2.0014,0.7,11.092499999999996,67.66424999999997,136.8075,0.0,0.0,0.0,1.5,"[0, 1]",10.0,40.0,-400.0,-360.0,-380.0,25.0,40.0,30.0,1200.0,210.0
svg/line_38,3.0038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"[0, 2]",19.0,21.0,-401.0,-359.0,-380.0,20.0,42.0,2.0,0.0,80.0
svg/line_37,3.0037,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 3]",-40.75,-39.25,-400.75,-359.25,-380.0,-40.0,41.5,1.5,0.0,60.0
svg/line_36,3.0036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 4]",69.25,70.75,-400.75,-359.25,-380.0,70.0,41.5,1.5,0.0,60.0
svg/circle_10,1.001,1.0,29.325,196.4775,205.275,-1.0,-1.0,-1.0,1.0,"[0, 5]",77.0,83.0,-383.0,-377.0,-380.0,80.0,6.0,6.0,28.274333882308138,18.84955592153876
svg/line_35,3.0035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 6]",-30.75,80.75,-330.75,-329.25,-330.0,25.0,1.5,111.5,0.0,165.0
svg/rect_13,2.0013,0.7,247.503,161.3708,12.597000000000028,0.0,0.0,0.0,1.5,"[0, 7]",5.0,55.0,-350.0,-310.0,-330.0,30.0,40.0,50.0,2000.0,270.0
svg/line_34,3.0034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"[0, 8]",24.0,26.0,-351.0,-309.0,-330.0,25.0,42.0,2.0,0.0,80.0
svg/line_33,3.0033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 9]",-30.75,-29.25,-350.75,-309.25,-330.0,-30.0,41.5,1.5,0.0,60.0
svg/line_32,3.0032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 10]",79.25,80.75,-350.75,-309.25,-330.0,80.0,41.5,1.5,0.0,60.0
svg/circle_9,1.0009,1.0,254.99999999999997,207.825,66.30000000000003,-1.0,-1.0,-1.0,1.0,"[0, 11]",87.0,93.0,-333.0,-327.0,-330.0,90.0,6.0,6.0,28.274333882308138,18.84955592153876
svg/line_31,3.0031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 12]",-50.75,60.75,-260.75,-259.25,-260.0,5.0,1.5,111.5,0.0,165.0
svg/rect_12,2.0012,0.7,43.42140000000002,139.68900000000002,28.61099999999999,0.0,0.0,0.0,1.5,"[0, 13]",-5.0,55.0,-280.0,-240.0,-260.0,25.0,40.0,60.0,2400.0,300.0
svg/line_30,3.003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"[0, 14]",14.0,16.0,-281.0,-239.0,-260.0,15.0,42.0,2.0,0.0,80.0
svg/line_29,3.0029,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 15]",-50.75,-49.25,-280.75,-239.25,-260.0,-50.0,41.5,1.5,0.0,60.0
svg/line_28,3.0028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 16]",59.25,60.75,-280.75,-239.25,-260.0,60.0,41.5,1.5,0.0,60.0
svg/circle_8,1.0008,1.0,120.02084999999992,214.4295,76.27049999999998,-1.0,-1.0,-1.0,1.0,"[0, 17]",67.0,73.0,-263.0,-257.0,-260.0,70.0,6.0,6.0,28.274333882308138,18.84955592153876
svg/circle_7,1.0007,1.0,120.02084999999992,214.4295,76.27049999999998,-1.0,-1.0,-1.0,1.0,"[0, 18]",77.0,83.0,-263.0,-257.0,-260.0,80.0,6.0,6.0,28.274333882308138,18.84955592153876
svg/line_27,3.0027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"[0, 19]",-60.75,50.75,-210.75,-209.25,-210.0,-5.0,1.5,111.5,0.0,165.0
svg/rect_11,2.0011,0.7,232.05000000000004,163.20000000000002,94.34999999999997,0.0,0.0,0.0,1.5,"[0, 20]",0.0,40.0,-230.0,-190.0,-210.0,20.0,40.0,40.0,1600.0,240.0
svg/line_26,3.0026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"[0, 21]",19.0,21.0,-231.0,-189.0,-210.0,20.0,42.0,2.0,0.0,80.0
