tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_min_left_n,bbox_max_right_n,bbox_min_top_n,bbox_max_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area
svg/g/circle_649,0.7506489999999999,1.0,-0.5735764363510464,-0.8191520442889916,1.0,0.58,1.0,0.0,0.0,0.0,1.0,0.25,-1.0,-0.971052250687509,0.5833333333333331,0.6533613445378149,-0.9855261253437545,0.618347338935574,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
svg/g/circle_648,0.7506480000000001,1.0,-0.5735764363510464,-0.8191520442889916,1.0,0.58,1.0,0.0,0.0,0.0,1.0,0.24964739069111425,-1.0,-0.971052250687509,0.6701680672268906,0.7401960784313724,-0.9855261253437545,0.7051820728291315,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
svg/g/circle_647,0.7506470000000001,1.0,0.8290375725550417,0.5591929034707469,0.9700000000000004,0.59,1.0,0.0,0.0,0.0,1.0,0.2492947813822285,-1.0,-0.971052250687509,0.7570028011204479,0.8270308123249297,-0.9855261253437545,0.7920168067226888,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
svg/g/circle_646,0.750646,1.0,0.15643446504023026,0.9876883405951378,0.5800000000000004,0.54,1.0,0.0,0.0,0.0,1.0,0.24894217207334274,-1.0,-0.971052250687509,0.8431372549019606,0.9131652661064423,-0.9855261253437545,0.8781512605042014,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
svg/g/circle_645,0.750645,1.0,0.8480480961564258,0.529919264233205,0.35,0.47,1.0,0.0,0.0,0.0,1.0,0.24858956276445698,-1.0,-0.971052250687509,0.9299719887955182,1.0,-0.9855261253437545,0.9649859943977591,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
svg/g/circle_644,0.7506440000000001,1.0,-0.5735764363510464,-0.8191520442889916,1.0,0.58,1.0,0.0,0.0,0.0,1.0,0.24823695345557123,-0.9641047908525113,-0.9351570415400203,0.5833333333333331,0.6533613445378149,-0.9496309161962658,0.618347338935574,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
svg/g/circle_643,0.7506430000000001,1.0,-0.5735764363510464,-0.8191520442889916,1.0,0.58,1.0,0.0,0.0,0.0,1.0,0.24788434414668548,-0.9641047908525113,-0.9351570415400203,0.6701680672268906,0.7401960784313724,-0.9496309161962658,0.7051820728291315,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
svg/g/circle_642,0.750642,1.0,0.8290375725550417,0.5591929034707469,0.9700000000000004,0.59,1.0,0.0,0.0,0.0,1.0,0.24753173483779972,-0.9641047908525113,-0.9351570415400203,0.7570028011204479,0.8270308123249297,-0.9496309161962658,0.7920168067226888,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
svg/g/circle_641,0.750641,1.0,0.15643446504023026,0.9876883405951378,0.5800000000000004,0.54,1.0,0.0,0.0,0.0,1.0,0.24717912552891397,-0.9641047908525113,-0.9351570415400203,0.8431372549019606,0.9131652661064423,-0.9496309161962658,0.8781512605042014,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
svg/g/circle_640,0.75064,1.0,0.8480480961564258,0.529919264233205,0.35,0.47,1.0,0.0,0.0,0.0,1.0,0.2468265162200282,-0.9641047908525113,-0.9351570415400203,0.9299719887955182,1.0,-0.9496309161962658,0.9649859943977591,0.014473874656245478,0.0350140056022409,0.3589275840108562,0.08559254052155013
